SALESORDERID,CREATEDAT,CHANGEDAT,CUSTOMERID,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500009328,2015-06-29,2015-06-29,100000028,17348,14579,2769,N,I,I
500009329,2015-06-29,2015-06-29,100000024,468,395,73,N,I,I
500009330,2015-06-29,2015-06-29,100000014,30194,25375,4819,N,I,I
500009331,2015-06-29,2015-06-29,100000032,6224,5231,993,N,I,I
500009332,2015-06-29,2015-06-29,100000012,11630,9774,1856,N,I,I
500009333,2015-06-29,2015-06-29,100000009,20898,17563,3335,N,I,I
500009334,2015-06-29,2015-06-29,100000003,1501,1263,238,N,I,I
500009335,2015-06-29,2015-06-29,100000030,794,668,126,N,I,I
500009336,2015-06-29,2015-06-29,100000018,8076,6787,1289,N,I,I
500009337,2015-06-29,2015-06-29,100000012,19583,16458,3125,N,I,I
500009338,2015-06-29,2015-06-29,100000007,3173,2667,506,N,I,I
500009339,2015-06-29,2015-06-29,100000006,6719,5648,1071,N,I,I
500009340,2015-06-29,2015-06-29,100000035,13509,11353,2156,N,I,I
500009341,2015-06-29,2015-06-29,100000043,1078,907,171,N,I,I
500009342,2015-06-29,2015-06-29,100000029,5707,4796,911,N,I,I
500009343,2015-06-29,2015-06-29,100000006,1096,922,174,N,I,I
500009344,2015-06-29,2015-06-29,100000022,12119,10186,1933,N,I,I
500009345,2015-06-29,2015-06-29,100000011,2856,2400,456,N,I,I
500009346,2015-06-29,2015-06-29,100000006,1523,1281,242,N,I,I
500009347,2015-06-29,2015-06-29,100000006,3945,3317,628,N,I,I
500009348,2015-06-29,2015-06-29,100000006,422,356,66,N,I,I
500009349,2015-06-29,2015-06-29,100000018,11478,9647,1831,N,I,I
500009350,2015-06-29,2015-06-29,100000006,54530,45825,8705,N,I,I
500009351,2015-06-29,2015-06-29,100000013,15692,13188,2504,N,I,I
500009352,2015-06-29,2015-06-29,100000000,10391,8734,1657,N,I,I
500009353,2015-06-29,2015-06-29,100000017,10294,8652,1642,N,I,I
500009354,2015-06-29,2015-06-29,100000043,2116,1779,337,N,I,I
500009355,2015-06-29,2015-06-29,100000042,16887,14191,2696,N,I,I
500009356,2015-06-29,2015-06-29,100000041,534,449,85,N,I,I
500009357,2015-06-29,2015-06-29,100000033,34347,28864,5483,N,I,I
500009358,2015-06-29,2015-06-29,100000007,567,478,89,N,I,I
500009359,2015-06-29,2015-06-29,100000034,1655,1392,263,N,I,I
500009360,2015-06-29,2015-06-29,100000043,13468,11319,2149,N,I,I
500009361,2015-06-29,2015-06-29,100000001,5091,4279,812,N,I,I
500009362,2015-06-29,2015-06-29,100000027,3472,2918,554,N,I,I
500009363,2015-06-29,2015-06-29,100000012,534,449,85,N,I,I
500009364,2015-06-29,2015-06-29,100000010,14126,11871,2255,N,I,I
500009365,2015-06-29,2015-06-29,100000007,1305,1098,207,N,I,I
500009366,2015-06-29,2015-06-29,100000022,1216,1024,192,N,I,I
500009367,2015-06-29,2015-06-29,100000004,5180,4354,826,N,I,I
500009368,2015-06-29,2015-06-29,100000000,1077,906,171,N,I,I
500009369,2015-06-29,2015-06-29,100000041,830,698,132,N,I,I
500009370,2015-06-29,2015-06-29,100000036,2056,1728,328,N,I,I
500009371,2015-06-29,2015-06-29,100000003,3016,2536,480,N,I,I
500009372,2015-06-29,2015-06-29,100000021,53980,45362,8618,N,I,I
500009373,2015-06-29,2015-06-29,100000003,248,209,39,N,I,I
500009374,2015-06-29,2015-06-29,100000001,4742,3986,756,N,I,I
500009375,2015-06-29,2015-06-29,100000042,349,294,55,N,I,I
500009376,2015-06-29,2015-06-29,100000032,1641,1379,262,N,I,I
500009377,2015-06-29,2015-06-29,100000026,366,308,58,N,I,I
500009378,2015-06-29,2015-06-29,100000012,74560,62657,11903,N,I,I
500009379,2015-06-29,2015-06-29,100000038,808,679,129,N,I,I
500009380,2015-06-29,2015-06-29,100000023,8930,7505,1425,N,I,I
500009381,2015-06-29,2015-06-29,100000036,3701,3112,589,N,I,I
500009382,2015-06-29,2015-06-29,100000022,5464,4593,871,N,I,I
500009383,2015-06-29,2015-06-29,100000007,1933,1625,308,N,I,I
500009384,2015-06-29,2015-06-29,100000024,66,56,10,N,I,I
500009385,2015-06-29,2015-06-29,100000042,94,79,15,N,I,I
500009386,2015-06-29,2015-06-29,100000005,24399,20504,3895,N,I,I
500009387,2015-06-29,2015-06-29,100000023,9637,8099,1538,N,I,I
500009388,2015-06-29,2015-06-29,100000003,33148,27858,5290,N,I,I
500009389,2015-06-29,2015-06-29,100000003,35855,30132,5723,N,I,I
500009390,2015-06-29,2015-06-29,100000040,24447,20545,3902,N,I,I
500009391,2015-06-29,2015-06-29,100000016,747,628,119,N,I,I
500009392,2015-06-29,2015-06-29,100000036,2034,1710,324,N,I,I
500009393,2015-06-29,2015-06-29,100000017,105,89,16,N,I,I
500009394,2015-06-29,2015-06-29,100000004,20531,17255,3276,N,I,I
500009395,2015-06-29,2015-06-29,100000038,3213,2700,513,N,I,I
500009396,2015-06-29,2015-06-29,100000022,2972,2498,474,N,I,I
500009397,2015-06-29,2015-06-29,100000021,92,78,14,N,I,I
500009398,2015-06-29,2015-06-29,100000038,7234,6080,1154,N,I,I
500009399,2015-06-29,2015-06-29,100000004,29750,25000,4750,N,I,I
500009400,2015-06-29,2015-06-29,100000032,2318,1950,368,N,I,I
500009401,2015-06-29,2015-06-29,100000021,11562,9716,1846,N,I,I
500009402,2015-06-29,2015-06-29,100000012,17969,15101,2868,N,I,I
500009403,2015-06-29,2015-06-29,100000001,1598,1344,254,N,I,I
500009404,2015-06-29,2015-06-29,100000004,6996,5880,1116,N,I,I
500009405,2015-06-29,2015-06-29,100000035,3766,3165,601,N,I,I
500009406,2015-06-29,2015-06-29,100000037,7229,6076,1153,N,I,I
500009407,2015-06-29,2015-06-29,100000004,7187,6040,1147,N,I,I
500009408,2015-06-29,2015-06-29,100000020,10943,9196,1747,N,I,I
500009409,2015-06-30,2015-06-30,100000021,145980,122673,23307,N,I,I
500009410,2015-06-30,2015-06-30,100000014,379,319,60,N,I,I
500009411,2015-06-30,2015-06-30,100000041,770,648,122,N,I,I
500009412,2015-06-30,2015-06-30,100000040,1031,867,164,N,I,I
500009413,2015-06-30,2015-06-30,100000002,402,338,64,N,I,I
500009414,2015-06-30,2015-06-30,100000009,9465,7955,1510,N,I,I
500009415,2015-06-30,2015-06-30,100000020,12866,10813,2053,N,I,I
500009416,2015-06-30,2015-06-30,100000005,72899,61261,11638,N,I,I
500009417,2015-06-30,2015-06-30,100000014,9101,7650,1451,N,I,I
500009418,2015-06-30,2015-06-30,100000000,674,567,107,N,I,I
500009419,2015-06-30,2015-06-30,100000007,2924,2458,466,N,I,I
500009420,2015-06-30,2015-06-30,100000033,99,84,15,N,I,I
500009421,2015-06-30,2015-06-30,100000020,17,15,2,N,I,I
500009422,2015-06-30,2015-06-30,100000031,806,678,128,N,I,I
500009423,2015-06-30,2015-06-30,100000015,3436,2888,548,N,I,I
500009424,2015-06-30,2015-06-30,100000037,1963,1650,313,N,I,I
500009425,2015-06-30,2015-06-30,100000010,847,712,135,N,I,I
500009426,2015-06-30,2015-06-30,100000001,397,334,63,N,I,I
500009427,2015-06-30,2015-06-30,100000037,23630,19859,3771,N,I,I
500009428,2015-06-30,2015-06-30,100000030,12147,10208,1939,N,I,I
500009429,2015-06-30,2015-06-30,100000020,120,102,18,N,I,I
500009430,2015-06-30,2015-06-30,100000029,5447,4578,869,N,I,I
500009431,2015-06-30,2015-06-30,100000008,706,594,112,N,I,I
500009432,2015-06-30,2015-06-30,100000027,42752,35927,6825,N,I,I
500009433,2015-06-30,2015-06-30,100000021,23955,20131,3824,N,I,I
500009434,2015-06-30,2015-06-30,100000033,13,11,2,N,I,I
500009435,2015-06-30,2015-06-30,100000034,11951,10044,1907,N,I,I
500009436,2015-07-01,2015-07-01,100000017,146,123,23,N,I,I
500009437,2015-07-01,2015-07-01,100000001,6067,5099,968,N,I,I
500009438,2015-07-01,2015-07-01,100000006,20346,17099,3247,N,I,I
500009439,2015-07-01,2015-07-01,100000002,280,237,43,N,I,I
500009440,2015-07-01,2015-07-01,100000034,30909,25975,4934,N,I,I
500009441,2015-07-01,2015-07-01,100000033,55620,46741,8879,N,I,I
500009442,2015-07-01,2015-07-01,100000001,23097,19411,3686,N,I,I
500009443,2015-07-01,2015-07-01,100000030,523,440,83,N,I,I
500009444,2015-07-01,2015-07-01,100000008,8555,7191,1364,N,I,I
500009445,2015-07-01,2015-07-01,100000033,7272,6112,1160,N,I,I
500009446,2015-07-01,2015-07-01,100000039,13328,11202,2126,N,I,I
500009447,2015-07-01,2015-07-01,100000042,1808,1520,288,N,I,I
500009448,2015-07-01,2015-07-01,100000022,2927,2460,467,N,I,I
500009449,2015-07-01,2015-07-01,100000021,3990,3354,636,N,I,I
500009450,2015-07-01,2015-07-01,100000004,9822,8255,1567,N,I,I
500009451,2015-07-01,2015-07-01,100000036,15439,12975,2464,N,I,I
500009452,2015-07-01,2015-07-01,100000036,4416,3712,704,N,I,I
500009453,2015-07-01,2015-07-01,100000031,853,717,136,N,I,I
500009454,2015-07-01,2015-07-01,100000036,7424,6240,1184,N,I,I
500009455,2015-07-01,2015-07-01,100000006,5568,4680,888,N,I,I
500009456,2015-07-01,2015-07-01,100000003,7613,6398,1215,N,I,I
500009457,2015-07-01,2015-07-01,100000015,70,59,11,N,I,I
500009458,2015-07-01,2015-07-01,100000027,3063,2575,488,N,I,I
500009459,2015-07-01,2015-07-01,100000009,4284,3600,684,N,I,I
500009460,2015-07-01,2015-07-01,100000029,8659,7277,1382,N,I,I
500009461,2015-07-01,2015-07-01,100000016,9139,7680,1459,N,I,I
500009462,2015-07-01,2015-07-01,100000034,5970,5018,952,N,I,I
500009463,2015-07-01,2015-07-01,100000029,1064,895,169,N,I,I
500009464,2015-07-01,2015-07-01,100000018,42101,35381,6720,N,I,I
500009465,2015-07-01,2015-07-01,100000012,9510,7992,1518,N,I,I
500009466,2015-07-01,2015-07-01,100000013,1237,1040,197,N,I,I
500009467,2015-07-01,2015-07-01,100000012,752,633,119,N,I,I
500009468,2015-07-01,2015-07-01,100000037,2911,2447,464,N,I,I
500009469,2015-07-01,2015-07-01,100000018,10943,9196,1747,N,I,I
500009470,2015-07-01,2015-07-01,100000042,11670,9808,1862,N,I,I
500009471,2015-07-01,2015-07-01,100000008,8562,7196,1366,N,I,I
500009472,2015-07-01,2015-07-01,100000023,27036,22721,4315,N,I,I
500009473,2015-07-01,2015-07-01,100000028,824,693,131,N,I,I
500009474,2015-07-01,2015-07-01,100000001,15524,13046,2478,N,I,I
500009475,2015-07-01,2015-07-01,100000007,455,384,71,N,I,I
500009476,2015-07-01,2015-07-01,100000000,5926,4980,946,N,I,I
500009477,2015-07-01,2015-07-01,100000024,3483,2928,555,N,I,I
500009478,2015-07-01,2015-07-01,100000025,72844,61215,11629,N,I,I
500009479,2015-07-01,2015-07-01,100000016,2700,2270,430,N,I,I
500009480,2015-07-01,2015-07-01,100000009,13062,10977,2085,N,I,I
500009481,2015-07-01,2015-07-01,100000033,12743,10710,2033,N,I,I
500009482,2015-07-01,2015-07-01,100000030,29531,24817,4714,N,I,I
500009483,2015-07-01,2015-07-01,100000011,41,35,6,N,I,I
500009484,2015-07-01,2015-07-01,100000028,19274,16198,3076,N,I,I
500009485,2015-07-01,2015-07-01,100000042,43191,36296,6895,N,I,I
500009486,2015-07-01,2015-07-01,100000022,195,165,30,N,I,I
500009487,2015-07-01,2015-07-01,100000035,58037,48772,9265,N,I,I
500009488,2015-07-01,2015-07-01,100000033,551,464,87,N,I,I
500009489,2015-07-01,2015-07-01,100000030,26759,22488,4271,N,I,I
500009490,2015-07-01,2015-07-01,100000043,1262,1062,200,N,I,I
500009491,2015-07-01,2015-07-01,100000030,14946,12560,2386,N,I,I
500009492,2015-07-01,2015-07-01,100000007,9569,8042,1527,N,I,I
500009493,2015-07-01,2015-07-01,100000034,23560,19799,3761,N,I,I
500009494,2015-07-01,2015-07-01,100000010,14272,11994,2278,N,I,I
500009495,2015-07-01,2015-07-01,100000018,8438,7092,1346,N,I,I
500009496,2015-07-01,2015-07-01,100000009,1082,910,172,N,I,I
500009497,2015-07-01,2015-07-01,100000043,2651,2228,423,N,I,I
500009498,2015-07-01,2015-07-01,100000018,6280,5278,1002,N,I,I
500009499,2015-07-01,2015-07-01,100000010,14719,12370,2349,N,I,I
500009500,2015-07-01,2015-07-01,100000006,2378,1999,379,N,I,I
500009501,2015-07-01,2015-07-01,100000020,19666,16527,3139,N,I,I
500009502,2015-07-01,2015-07-01,100000002,399,336,63,N,I,I
500009503,2015-07-01,2015-07-01,100000039,1570,1320,250,N,I,I
500009504,2015-07-01,2015-07-01,100000005,26791,22515,4276,N,I,I
500009505,2015-07-01,2015-07-01,100000041,8129,6832,1297,N,I,I
500009506,2015-07-02,2015-07-02,100000023,19604,16475,3129,N,I,I
500009507,2015-07-02,2015-07-02,100000018,13613,11440,2173,N,I,I
500009508,2015-07-02,2015-07-02,100000021,824,693,131,N,I,I
500009509,2015-07-02,2015-07-02,100000016,4577,3848,729,N,I,I
500009510,2015-07-02,2015-07-02,100000013,882,742,140,N,I,I
500009511,2015-07-02,2015-07-02,100000005,19658,16520,3138,N,I,I
500009512,2015-07-02,2015-07-02,100000031,5947,4998,949,N,I,I
500009513,2015-07-02,2015-07-02,100000034,8207,6897,1310,N,I,I
500009514,2015-07-02,2015-07-02,100000028,216,182,34,N,I,I
500009515,2015-07-02,2015-07-02,100000040,5234,4399,835,N,I,I
500009516,2015-07-02,2015-07-02,100000026,5898,4957,941,N,I,I
500009517,2015-07-02,2015-07-02,100000034,5872,4936,936,N,I,I
500009518,2015-07-02,2015-07-02,100000013,26831,22549,4282,N,I,I
500009519,2015-07-02,2015-07-02,100000041,2139,1798,341,N,I,I
500009520,2015-07-02,2015-07-02,100000039,17850,15000,2850,N,I,I
500009521,2015-07-02,2015-07-02,100000008,7854,6600,1254,N,I,I
500009522,2015-07-02,2015-07-02,100000005,9787,8226,1561,N,I,I
500009523,2015-07-02,2015-07-02,100000038,6743,5667,1076,N,I,I
500009524,2015-07-02,2015-07-02,100000013,1117,939,178,N,I,I
500009525,2015-07-02,2015-07-02,100000020,1017,856,161,N,I,I
500009526,2015-07-02,2015-07-02,100000001,12484,10493,1991,N,I,I
500009527,2015-07-02,2015-07-02,100000027,6206,5216,990,N,I,I
500009528,2015-07-02,2015-07-02,100000021,11802,9918,1884,N,I,I
500009529,2015-07-02,2015-07-02,100000026,1090,917,173,N,I,I
500009530,2015-07-02,2015-07-02,100000030,698,587,111,N,I,I
500009531,2015-07-02,2015-07-02,100000018,1251,1052,199,N,I,I
500009532,2015-07-02,2015-07-02,100000009,1116,938,178,N,I,I
500009533,2015-07-02,2015-07-02,100000012,90107,75721,14386,N,I,I
500009534,2015-07-02,2015-07-02,100000020,12315,10349,1966,N,I,I
500009535,2015-07-02,2015-07-02,100000010,25277,21243,4034,N,I,I
500009536,2015-07-02,2015-07-02,100000038,24886,20915,3971,N,I,I
500009537,2015-07-02,2015-07-02,100000014,21099,17732,3367,N,I,I
500009538,2015-07-02,2015-07-02,100000032,589,495,94,N,I,I
500009539,2015-07-02,2015-07-02,100000019,2848,2394,454,N,I,I
500009540,2015-07-02,2015-07-02,100000003,22265,18712,3553,N,I,I
500009541,2015-07-02,2015-07-02,100000031,2810,2362,448,N,I,I
500009542,2015-07-02,2015-07-02,100000032,92226,77502,14724,N,I,I
500009543,2015-07-02,2015-07-02,100000027,8505,7148,1357,N,I,I
500009544,2015-07-02,2015-07-02,100000008,623,524,99,N,I,I
500009545,2015-07-02,2015-07-02,100000035,126010,105891,20119,N,I,I
500009546,2015-07-02,2015-07-02,100000019,2920,2455,465,N,I,I
500009547,2015-07-02,2015-07-02,100000029,492,414,78,N,I,I
500009548,2015-07-02,2015-07-02,100000040,10168,8546,1622,N,I,I
500009549,2015-07-02,2015-07-02,100000024,2378,1999,379,N,I,I
500009550,2015-07-02,2015-07-02,100000035,3586,3015,571,N,I,I
500009551,2015-07-02,2015-07-02,100000019,7473,6280,1193,N,I,I
500009552,2015-07-02,2015-07-02,100000028,1356,1140,216,N,I,I
500009553,2015-07-02,2015-07-02,100000039,1062,894,168,N,I,I
500009554,2015-07-02,2015-07-02,100000005,6050,5086,964,N,I,I
500009555,2015-07-02,2015-07-02,100000003,9997,8402,1595,N,I,I
500009556,2015-07-02,2015-07-02,100000034,3517,2957,560,N,I,I
500009557,2015-07-02,2015-07-02,100000000,2792,2347,445,N,I,I
500009558,2015-07-02,2015-07-02,100000025,546,460,86,N,I,I
500009559,2015-07-02,2015-07-02,100000008,14687,12343,2344,N,I,I
500009560,2015-07-02,2015-07-02,100000002,1494,1257,237,N,I,I
500009561,2015-07-02,2015-07-02,100000023,9827,8259,1568,N,I,I
500009562,2015-07-02,2015-07-02,100000020,18286,15368,2918,N,I,I
500009563,2015-07-02,2015-07-02,100000020,14098,11848,2250,N,I,I
500009564,2015-07-02,2015-07-02,100000030,963,810,153,N,I,I
500009565,2015-07-02,2015-07-02,100000018,16468,13839,2629,N,I,I
500009566,2015-07-02,2015-07-02,100000036,2704,2273,431,N,I,I
500009567,2015-07-02,2015-07-02,100000031,6768,5688,1080,N,I,I
500009568,2015-07-02,2015-07-02,100000022,21623,18171,3452,N,I,I
500009569,2015-07-02,2015-07-02,100000009,6685,5619,1066,N,I,I
500009570,2015-07-02,2015-07-02,100000031,16841,14154,2687,N,I,I
500009571,2015-07-02,2015-07-02,100000032,2972,2498,474,N,I,I
500009572,2015-07-02,2015-07-02,100000006,19292,16212,3080,N,I,I
500009573,2015-07-02,2015-07-02,100000013,14272,11994,2278,N,I,I
500009574,2015-07-02,2015-07-02,100000010,2322,1952,370,N,I,I
500009575,2015-07-02,2015-07-02,100000024,8667,7284,1383,N,I,I
500009576,2015-07-02,2015-07-02,100000037,17693,14870,2823,N,I,I
500009577,2015-07-02,2015-07-02,100000027,5083,4272,811,N,I,I
500009578,2015-07-02,2015-07-02,100000006,5938,4991,947,N,I,I
500009579,2015-07-02,2015-07-02,100000015,1317,1108,209,N,I,I
500009580,2015-07-02,2015-07-02,100000040,788,664,124,N,I,I
500009581,2015-07-02,2015-07-02,100000026,8320,6993,1327,N,I,I
500009582,2015-07-02,2015-07-02,100000009,12480,10488,1992,N,I,I
500009583,2015-07-02,2015-07-02,100000003,1015,853,162,N,I,I
500009584,2015-07-02,2015-07-02,100000030,18721,15734,2987,N,I,I
500009585,2015-07-02,2015-07-02,100000027,89250,75000,14250,N,I,I
500009586,2015-07-03,2015-07-03,100000006,4124,3466,658,N,I,I
500009587,2015-07-03,2015-07-03,100000004,10962,9213,1749,N,I,I
500009588,2015-07-03,2015-07-03,100000004,7397,6218,1179,N,I,I
500009589,2015-07-03,2015-07-03,100000002,12646,10629,2017,N,I,I
500009590,2015-07-03,2015-07-03,100000013,19889,16715,3174,N,I,I
500009591,2015-07-03,2015-07-03,100000006,6426,5400,1026,N,I,I
500009592,2015-07-03,2015-07-03,100000040,380,320,60,N,I,I
500009593,2015-07-03,2015-07-03,100000001,2032,1709,323,N,I,I
500009594,2015-07-03,2015-07-03,100000037,12266,10308,1958,N,I,I
500009595,2015-07-03,2015-07-03,100000020,11065,9300,1765,N,I,I
500009596,2015-07-03,2015-07-03,100000019,5208,4377,831,N,I,I
500009597,2015-07-03,2015-07-03,100000017,4750,3992,758,N,I,I
500009598,2015-07-03,2015-07-03,100000034,1733,1458,275,N,I,I
500009599,2015-07-03,2015-07-03,100000017,1485,1250,235,N,I,I
500009600,2015-07-03,2015-07-03,100000016,2927,2460,467,N,I,I
500009601,2015-07-03,2015-07-03,100000011,5245,4409,836,N,I,I
500009602,2015-07-03,2015-07-03,100000003,14936,12552,2384,N,I,I
500009603,2015-07-03,2015-07-03,100000021,105,89,16,N,I,I
500009604,2015-07-03,2015-07-03,100000038,183,154,29,N,I,I
500009605,2015-07-03,2015-07-03,100000003,1901,1598,303,N,I,I
500009606,2015-07-03,2015-07-03,100000010,14479,12168,2311,N,I,I
500009607,2015-07-03,2015-07-03,100000030,8245,6930,1315,N,I,I
500009608,2015-07-03,2015-07-03,100000025,12432,10448,1984,N,I,I
500009609,2015-07-03,2015-07-03,100000032,327,275,52,N,I,I
500009610,2015-07-03,2015-07-03,100000014,2273,1911,362,N,I,I
500009611,2015-07-03,2015-07-03,100000035,6096,5123,973,N,I,I
500009612,2015-07-03,2015-07-03,100000023,62648,52646,10002,N,I,I
500009613,2015-07-03,2015-07-03,100000012,1426,1199,227,N,I,I
500009614,2015-07-03,2015-07-03,100000036,2046,1720,326,N,I,I
500009615,2015-07-03,2015-07-03,100000033,1092,918,174,N,I,I
500009616,2015-07-03,2015-07-03,100000033,388,328,60,N,I,I
500009617,2015-07-03,2015-07-03,100000023,237,200,37,N,I,I
500009618,2015-07-03,2015-07-03,100000032,3997,3360,637,N,I,I
500009619,2015-07-03,2015-07-03,100000020,534,449,85,N,I,I
500009620,2015-07-03,2015-07-03,100000043,12184,10240,1944,N,I,I
500009621,2015-07-03,2015-07-03,100000024,2809,2361,448,N,I,I
500009622,2015-07-03,2015-07-03,100000019,6878,5781,1097,N,I,I
500009623,2015-07-03,2015-07-03,100000026,484,408,76,N,I,I
500009624,2015-07-03,2015-07-03,100000018,36658,30807,5851,N,I,I
500009625,2015-07-03,2015-07-03,100000012,521,440,81,N,I,I
500009626,2015-07-03,2015-07-03,100000030,3344,2812,532,N,I,I
500009627,2015-07-03,2015-07-03,100000009,11001,9245,1756,N,I,I
500009628,2015-07-03,2015-07-03,100000043,911,767,144,N,I,I
500009629,2015-07-03,2015-07-03,100000032,4968,4176,792,N,I,I
500009630,2015-07-03,2015-07-03,100000027,1306,1098,208,N,I,I
500009631,2015-07-03,2015-07-03,100000015,1692,1423,269,N,I,I
500009632,2015-07-03,2015-07-03,100000036,8045,6762,1283,N,I,I
500009633,2015-07-03,2015-07-03,100000033,11010,9253,1757,N,I,I
500009634,2015-07-03,2015-07-03,100000030,21886,18392,3494,N,I,I
500009635,2015-07-03,2015-07-03,100000038,243,205,38,N,I,I
500009636,2015-07-03,2015-07-03,100000034,26168,21991,4177,N,I,I
500009637,2015-07-03,2015-07-03,100000034,278,235,43,N,I,I
500009638,2015-07-03,2015-07-03,100000012,177,149,28,N,I,I
500009639,2015-07-03,2015-07-03,100000036,1253,1054,199,N,I,I
500009640,2015-07-03,2015-07-03,100000037,107,90,17,N,I,I
500009641,2015-07-03,2015-07-03,100000002,17246,14493,2753,N,I,I
500009642,2015-07-03,2015-07-03,100000043,25701,21599,4102,N,I,I
500009643,2015-07-03,2015-07-03,100000006,27317,22957,4360,N,I,I
500009644,2015-07-03,2015-07-03,100000029,9703,8155,1548,N,I,I
500009645,2015-07-03,2015-07-03,100000005,752,632,120,N,I,I
500009646,2015-07-03,2015-07-03,100000043,2992,2515,477,N,I,I
500009647,2015-07-03,2015-07-03,100000022,161,136,25,N,I,I
500009648,2015-07-03,2015-07-03,100000009,3734,3139,595,N,I,I
500009649,2015-07-03,2015-07-03,100000043,14302,12020,2282,N,I,I
500009650,2015-07-03,2015-07-03,100000008,63540,53395,10145,N,I,I
500009651,2015-07-03,2015-07-03,100000029,89553,75255,14298,N,I,I
500009652,2015-07-03,2015-07-03,100000009,4035,3393,642,N,I,I
500009653,2015-07-03,2015-07-03,100000008,9879,8304,1575,N,I,I
500009654,2015-07-03,2015-07-03,100000018,3303,2777,526,N,I,I
500009655,2015-07-03,2015-07-03,100000012,19,16,3,N,I,I
500009656,2015-07-04,2015-07-04,100000010,4209,3539,670,N,I,I
500009657,2015-07-04,2015-07-04,100000027,13954,11727,2227,N,I,I
500009658,2015-07-04,2015-07-04,100000026,1063,894,169,N,I,I
500009659,2015-07-04,2015-07-04,100000009,374,315,59,N,I,I
500009660,2015-07-04,2015-07-04,100000038,636,535,101,N,I,I
500009661,2015-07-04,2015-07-04,100000009,22646,19032,3614,N,I,I
500009662,2015-07-04,2015-07-04,100000013,4218,3546,672,N,I,I
500009663,2015-07-04,2015-07-04,100000005,46247,38865,7382,N,I,I
500009664,2015-07-04,2015-07-04,100000040,8111,6818,1293,N,I,I
500009665,2015-07-04,2015-07-04,100000008,3203,2693,510,N,I,I
500009666,2015-07-04,2015-07-04,100000017,5569,4680,889,N,I,I
500009667,2015-07-04,2015-07-04,100000028,1074,903,171,N,I,I
500009668,2015-07-04,2015-07-04,100000039,5618,4722,896,N,I,I
500009669,2015-07-04,2015-07-04,100000032,8632,7255,1377,N,I,I
500009670,2015-07-04,2015-07-04,100000019,31414,26401,5013,N,I,I
500009671,2015-07-04,2015-07-04,100000016,7092,5960,1132,N,I,I
500009672,2015-07-04,2015-07-04,100000015,17128,14394,2734,N,I,I
500009673,2015-07-04,2015-07-04,100000012,1233,1038,195,N,I,I
500009674,2015-07-04,2015-07-04,100000016,8949,7522,1427,N,I,I
500009675,2015-07-04,2015-07-04,100000006,8555,7190,1365,N,I,I
500009676,2015-07-04,2015-07-04,100000000,249,210,39,N,I,I
500009677,2015-07-04,2015-07-04,100000024,1141,961,180,N,I,I
500009678,2015-07-04,2015-07-04,100000024,13744,11550,2194,N,I,I
500009679,2015-07-04,2015-07-04,100000043,9891,8312,1579,N,I,I
500009680,2015-07-04,2015-07-04,100000004,21010,17658,3352,N,I,I
500009681,2015-07-04,2015-07-04,100000018,2425,2039,386,N,I,I
500009682,2015-07-04,2015-07-04,100000015,8054,6769,1285,N,I,I
500009683,2015-07-04,2015-07-04,100000043,23780,19985,3795,N,I,I
500009684,2015-07-04,2015-07-04,100000013,13369,11235,2134,N,I,I
500009685,2015-07-04,2015-07-04,100000000,26702,22440,4262,N,I,I
500009686,2015-07-04,2015-07-04,100000022,1830,1538,292,N,I,I
500009687,2015-07-04,2015-07-04,100000035,10575,8887,1688,N,I,I
500009688,2015-07-04,2015-07-04,100000029,627,528,99,N,I,I
500009689,2015-07-04,2015-07-04,100000014,152,128,24,N,I,I
500009690,2015-07-04,2015-07-04,100000010,3443,2894,549,N,I,I
500009691,2015-07-04,2015-07-04,100000036,16832,14146,2686,N,I,I
500009692,2015-07-04,2015-07-04,100000032,261,220,41,N,I,I
500009693,2015-07-04,2015-07-04,100000002,15541,13061,2480,N,I,I
500009694,2015-07-04,2015-07-04,100000039,15012,12616,2396,N,I,I
500009695,2015-07-04,2015-07-04,100000011,240,202,38,N,I,I
500009696,2015-07-04,2015-07-04,100000005,2385,2006,379,N,I,I
500009697,2015-07-04,2015-07-04,100000039,18081,15195,2886,N,I,I
500009698,2015-07-04,2015-07-04,100000042,2416,2032,384,N,I,I
500009699,2015-07-04,2015-07-04,100000025,42496,35711,6785,N,I,I
500009700,2015-07-05,2015-07-05,100000024,3683,3096,587,N,I,I
500009701,2015-07-05,2015-07-05,100000022,7846,6594,1252,N,I,I
500009702,2015-07-05,2015-07-05,100000036,13671,11489,2182,N,I,I
500009703,2015-07-05,2015-07-05,100000025,3710,3119,591,N,I,I
500009704,2015-07-05,2015-07-05,100000039,9280,7799,1481,N,I,I
500009705,2015-07-05,2015-07-05,100000011,3412,2869,543,N,I,I
500009706,2015-07-05,2015-07-05,100000021,16729,14059,2670,N,I,I
500009707,2015-07-05,2015-07-05,100000043,22117,18588,3529,N,I,I
500009708,2015-07-05,2015-07-05,100000020,4183,3516,667,N,I,I
500009709,2015-07-05,2015-07-05,100000012,3965,3333,632,N,I,I
500009710,2015-07-05,2015-07-05,100000024,82,69,13,N,I,I
500009711,2015-07-05,2015-07-05,100000014,5478,4604,874,N,I,I
500009712,2015-07-05,2015-07-05,100000009,15442,12978,2464,N,I,I
